CODPROD,DESCRICAO,UNIDADE,CODFAB,EMBALAGEM,QTCLIPOS,QT,PVENDA,CLMEDPRECOUNIT,TOTPESO,VOLUME,LITRAGEM,TOTQTUNIT,TOTQTUNITCX,CLQTUNIT
113025,PAO D ALHO BAGUETE  TRAD 12X300G,UN,1446,CX12X300G,270,6888,60078.57,8.58,2066.4,16.26,0,6888,574.0,1
113024,PAO DE ALHO BAGUETE PICANT ZINHO 300G ,UN,1447,CX12X300G,181,3742,32474.0,8.51,1122.6,8.9,0,3742,311.8333333333333,1
113023,PAO DE ALHO BOLINHA TRAD ZINHO 300G,UN,1440,CX12X300G,132,2320,21147.26,8.46,696.0,6.0,0,2320,193.33333333333334,1
114641,PAO D ALHO BAGUETE TRAD RESEVERVA 300G,UN,1246,CX12X300G,177,949,7266.42,7.74,284.7,2.63,0,949,79.08333333333333,1
124178,PAO DE ALHO BAGUETE PICANT RESERVA 300G,BD,1247,CX12X300G,58,230,1789.37,7.84,69.0,0.45,0,230,19.166666666666668,1
124179,PAO DE ALHO BOLINHA RESERVA 300G,BD,1248,CX12X300G,35,96,753.1,7.97,28.8,0.15,0,96,8.0,1
113022,PAO BOLINHA CATUPIRY 12X300G,UN,1441,CX12X300G,18,61,645.55,10.64,18.3,0.09,0,61,5.083333333333333,1
123801,PAO BOLINHA LING CALABRESA ZINHO 300G,UN,1444,CX12X300G,19,61,637.34,10.37,5.05,0.09,0,61,5.083333333333333,1
