CODPROD,DESCRICAO,UNIDADE,CODFAB,EMBALAGEM,QTCLIPOS,QT,PVENDA,CLMEDPRECOUNIT,TOTPESO,VOLUME,LITRAGEM,TOTQTUNIT,TOTQTUNITCX,CLQTUNIT
124311,SALG COXINHA DE FRANGO 300G PRATIC ,BD,7765,CX8X300G,109,845,9139.21,10.84,253.5,0.58,0,845,105.625,1
124309,SALG FOLHADO DE FGO 110G PRATIC 12UN,FD,11003,CX3X12UN,56,2236,7524.56,3.35,245.96,1.76,0,2236,62.111111111111114,1
124308,SALG FOLHADO DE CARNE 110G PRATIC 12UN,FD,11002,CX3X12UN,60,2222,7434.4,3.35,244.42,1.75,0,2222,61.72222222222222,1
124307,SALG FOLHADO QJO COAL 110G  PRATIC 12UN,FD,11001,CX3X12UN,40,1728,5693.88,3.3,190.08,1.38,0,1728,48.0,1
124312,SALG BOLINHA DE QJO 300G PRATIC,BD,7772,CX8X300G,80,517,5627.43,10.91,155.1,0.37,0,517,64.625,1
124310,SALG FOLHADO DE CALAB 110G PRATIC 12UN,FD,11004,CX3X12UN,40,1272,4273.32,3.35,1679.04,1.03,0,1272,35.333333333333336,1
124507,SALG FOLHADO 4 QUEIJOS 110G PRATIC 12UN,FD,11006,CX12X110G,49,1356,4246.56,3.15,149.16,0.05,0,1356,37.666666666666664,1
124313,SALG QUIBE 250G PRATIC,BD,7789,CX8X250G,56,341,3725.39,10.92,85.25,0.2,0,341,42.625,1
124506,SALG FOLHADO DE PIZZA 110G PRATIC 12UN,FD,11005,CX12X110G,23,804,2696.88,3.34,88.44,0.12,0,804,22.333333333333332,1
