CODFORNEC,CODPROD,DESCRICAO,GIRODIA_103,QTVENDMES3,QTVENDMES2,QTVENDMES1,QTVENDMES,QTVENDATOTAL4,ARUP4,ARUP3,ARUP2,QTESTGER,QTRESERV,QTPENDENTE,QTBLOQUEADA,QTDISPONIVEL,ESTDIAS,DTULTSAIDA,DIASSEMVENDA,DTULTENT,DIASSEMCOMPRA,QTULTENT,QTPEDIDA,PERCST,VLVENDAMES
3809,124307,SALG FOLHADO QJO COAL 110G  PRATIC 12UN,86.505,2736,2676,2460,0,7872,16,0,0,1668,74,0,0,1594,18.43,2023-12-28,5,2023-11-01,62,6660.0,6660,0,0.0
3809,124308,SALG FOLHADO DE CARNE 110G PRATIC 12UN,90.593,2544,3096,2604,0,8244,16,0,0,1536,229,0,0,1307,14.43,2023-12-28,5,2023-11-01,62,7020.0,7380,0,0.0
3809,124309,SALG FOLHADO DE FGO 110G PRATIC 12UN,85.582,2700,2604,2484,0,7788,16,0,0,648,121,0,0,527,6.16,2023-12-28,5,2023-11-01,62,5400.0,7200,0,0.0
3809,124310,SALG FOLHADO DE CALAB 110G PRATIC 12UN,46.267,1236,1488,1440,0,4164,16,0,0,456,60,0,0,396,8.56,2023-12-27,6,2023-12-08,25,972.0,4960,0,0.0
3809,124311,SALG COXINHA DE FRANGO 300G PRATIC ,24.703,472,819,957,26,2274,16,0,0,199,51,0,1,147,5.95,2024-01-02,0,2023-12-08,25,1000.0,2280,0,282.1
3809,124312,SALG BOLINHA DE QJO 300G PRATIC,16.744,360,566,581,10,1517,16,0,0,9,5,0,0,4,0.24,2024-01-02,0,2023-12-08,25,496.0,1740,0,109.5
3809,124313,SALG QUIBE 250G PRATIC,10.604,263,334,368,13,978,16,0,0,23,23,0,0,0,0.0,2024-01-02,0,2023-12-08,25,200.0,1120,0,144.34
3809,124506,SALG FOLHADO DE PIZZA 110G PRATIC 12UN,36.369,300,1236,828,0,2364,16,0,0,1512,96,0,0,1416,38.93,2023-12-28,5,2023-12-08,25,1980.0,2000,0,0.0
3809,124507,SALG FOLHADO 4 QUEIJOS 110G PRATIC 12UN,42.649,336,1332,1488,0,3156,16,0,0,696,108,0,0,588,13.79,2023-12-28,5,2023-12-08,25,972.0,2260,0,0.0
