CODFORNEC,CODPROD,DESCRICAO,GIRODIA_103,QTVENDMES3,QTVENDMES2,QTVENDMES1,QTVENDMES,QTVENDATOTAL4,ARUP4,ARUP3,ARUP2,QTESTGER,QTRESERV,QTPENDENTE,QTBLOQUEADA,QTDISPONIVEL,ESTDIAS,DTULTSAIDA,DIASSEMVENDA,DTULTENT,DIASSEMCOMPRA,QTULTENT,QTPEDIDA,PERCST,VLVENDAMES
3114,113432,MANTEIGA COMUM C/S LT CABECA TOURO 200G,6.233,264,205,152,102,723,0,0,0,321,4,0,0,317,50.86,2023-12-19,8,2023-10-27,61,120.0,0,0,1487.24
3114,113433,MANTEIGA COMUM C/S LT CABECA TOURO 500G,1.828,63,71,30,48,212,0,0,0,248,6,0,0,242,132.39,2023-12-19,8,2023-10-27,61,276.0,0,0,1483.21
3114,113434,MANTEIGA COMUM C/S PT CABECA TOURO 200G,14.353,602,286,438,339,1665,16,0,0,413,13,0,0,400,27.87,2023-12-26,1,2023-10-27,61,888.0,0,0,3658.41
3114,113435,MANTEIGA COMUM C/S PT CABECA TOURO 500G,4.103,227,80,110,59,476,0,0,0,520,16,0,0,504,122.84,2023-12-21,6,2023-11-06,51,300.0,0,0,1548.74
3114,113438,MANTEIGA COMUM C/S PT TOURINHO 200G,273.405,7145,7806,9080,7684,31715,0,0,0,20221,287,0,0,19934,72.91,2023-12-26,1,2023-11-06,51,2880.0,0,0,75541.93
3114,113439,MANTEIGA COMUM C/S PT TOURINHO 500G,54.289,1504,1557,1608,1520,6189,0,0,0,5285,64,0,0,5221,96.17,2023-12-26,1,2023-11-06,51,1500.0,0,0,35206.55
3114,113440,MANTEIGA 1ª QUALID S/S PT TOURINHO 500G,0.083,6,1,0,0,7,0,0,0,0,0,0,0,0,0.0,2023-11-25,32,2023-07-26,154,60.0,0,0,0.0
3114,113441,MANTEIGA COMUM S/S PT TOURINHO 200G,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2022-08-26,488,2022-05-23,583,1680.0,0,0,0.0
3114,113442,MANTEIGA 1ª QUALID C/S LT TOURINHO 200G,4.845,166,126,151,119,562,16,0,0,76,3,0,0,73,15.07,2023-12-26,1,2023-07-11,169,360.0,0,0,1545.5
3114,113443,MANTEIGA COMUM C/S LT TOURINHO 200G,8.638,333,245,271,153,1002,0,0,0,710,18,0,0,692,80.11,2023-12-21,6,2023-11-06,51,216.0,0,0,2010.32
3114,113444,MANTEIGA COMUM C/S LT TOURINHO 500G,1.448,70,40,28,30,168,0,0,0,123,0,0,0,123,84.94,2023-12-21,6,2023-10-27,61,192.0,0,0,927.28
3114,113445,MANTEIGA COMUM C/S LT TOURINHO 10KG,0.009,0,1,0,0,1,0,0,0,5,0,0,0,5,555.56,2023-10-05,83,2023-07-11,169,6.0,0,0,0.0
3114,115096,MANTEIGA 1ª QUALID S/S PT TOURINHO 200G,1.776,4,0,164,38,206,0,0,0,38,0,0,0,38,21.4,2023-12-20,7,2023-10-27,61,240.0,0,0,319.39
