CODFORNEC,CODPROD,DESCRICAO,GIRODIA_103,QTVENDMES3,QTVENDMES2,QTVENDMES1,QTVENDMES,QTVENDATOTAL4,ARUP4,ARUP3,ARUP2,QTESTGER,QTRESERV,QTPENDENTE,QTBLOQUEADA,QTDISPONIVEL,ESTDIAS,DTULTSAIDA,DIASSEMVENDA,DTULTENT,DIASSEMCOMPRA,QTULTENT,QTPEDIDA,PERCST,VLVENDAMES
3114,113432,MANTEIGA COMUM C/S LT CABECA TOURO 200G,5.088,205,152,106,0,463,0,0,0,317,7,0,0,310,60.93,2023-12-27,6,2023-10-27,67,120.0,0,0,0.0
3114,113433,MANTEIGA COMUM C/S LT CABECA TOURO 500G,1.769,71,30,60,0,161,0,0,0,236,1,0,0,235,132.84,2023-12-28,5,2023-10-27,67,276.0,0,0,0.0
3114,113434,MANTEIGA COMUM C/S PT CABECA TOURO 200G,12.22,286,438,388,0,1112,16,0,0,361,9,19,0,333,28.81,2023-12-28,5,2023-10-27,67,888.0,0,0,0.0
3114,113435,MANTEIGA COMUM C/S PT CABECA TOURO 500G,2.978,80,110,81,0,271,0,0,0,498,0,0,0,498,167.23,2023-12-27,6,2023-11-06,57,300.0,0,0,0.0
3114,113438,MANTEIGA COMUM C/S PT TOURINHO 200G,281.912,7806,9080,8768,121,25775,0,0,0,19022,345,0,0,18677,66.25,2024-01-02,0,2023-11-06,57,2880.0,0,0,1228.9
3114,113439,MANTEIGA COMUM C/S PT TOURINHO 500G,54.044,1557,1608,1753,28,4946,0,0,0,5024,37,0,0,4987,92.28,2024-01-02,0,2023-11-06,57,1500.0,0,0,654.93
3114,113440,MANTEIGA 1ª QUALID S/S PT TOURINHO 500G,0.019,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2023-11-25,38,2023-07-26,160,60.0,0,0,0.0
3114,113441,MANTEIGA COMUM S/S PT TOURINHO 200G,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2022-08-26,494,2022-05-23,589,1680.0,0,0,0.0
3114,113442,MANTEIGA 1ª QUALID C/S LT TOURINHO 200G,4.648,126,151,146,12,435,16,0,0,37,12,0,0,25,5.38,2024-01-02,0,2023-07-11,175,360.0,0,0,165.63
3114,113443,MANTEIGA COMUM C/S LT TOURINHO 200G,7.868,245,271,200,12,728,0,0,0,651,3,0,0,648,82.36,2024-01-02,0,2023-11-06,57,216.0,0,0,178.35
3114,113444,MANTEIGA COMUM C/S LT TOURINHO 500G,1.143,40,28,36,6,110,0,0,0,111,0,0,0,111,97.11,2024-01-02,0,2023-10-27,67,192.0,0,0,206.88
3114,113445,MANTEIGA COMUM C/S LT TOURINHO 10KG,0.011,1,0,0,0,1,0,0,0,5,0,0,0,5,454.55,2023-10-05,89,2023-07-11,175,6.0,0,0,0.0
3114,115096,MANTEIGA 1ª QUALID S/S PT TOURINHO 200G,2.22,0,164,38,0,202,0,8,0,38,6,0,0,32,14.41,2023-12-20,13,2023-10-27,67,240.0,0,0,0.0
