CODPROD,DESCRICAO,UNIDADE,CODFAB,EMBALAGEM,QTCLIPOS,QT,PVENDA,CLMEDPRECOUNIT,TOTPESO,VOLUME,LITRAGEM,TOTQTUNIT,TOTQTUNITCX,CLQTUNIT
113025,PAO D ALHO BAGUETE  TRAD 12X300G,UN,1446,CX12X300G,295,7037,61275.08,8.52,2111.1,16.55,0,7037,586.4166666666666,1
113024,PAO DE ALHO BAGUETE PICANT ZINHO 300G ,UN,1447,CX12X300G,194,3819,33109.13,8.48,1145.7,9.02,0,3819,318.25,1
113023,PAO DE ALHO BOLINHA TRAD ZINHO 300G,UN,1440,CX12X300G,145,2379,21631.7,8.44,713.7,6.16,0,2379,198.25,1
114641,PAO D ALHO BAGUETE TRAD RESEVERVA 300G,UN,1246,CX12X300G,192,1024,7837.71,7.73,307.2,2.83,0,1024,85.33333333333333,1
124178,PAO DE ALHO BAGUETE PICANT RESERVA 300G,BD,1247,CX12X300G,61,256,1987.79,7.83,76.8,0.5,0,256,21.333333333333332,1
124179,PAO DE ALHO BOLINHA RESERVA 300G,BD,1248,CX12X300G,36,107,835.99,7.94,32.1,0.17,0,107,8.916666666666666,1
113022,PAO BOLINHA CATUPIRY 12X300G,UN,1441,CX12X300G,18,61,645.55,10.64,18.3,0.09,0,61,5.083333333333333,1
123801,PAO BOLINHA LING CALABRESA ZINHO 300G,UN,1444,CX12X300G,19,61,637.34,10.37,5.05,0.09,0,61,5.083333333333333,1
